step,reward,seed
0,8.6,1
100000,112.0,1
200000,285.7,1
300000,447.8,1
400000,497.6,1
500000,651.4,1
600000,536.7,1
700000,622.9,1
800000,501.9,1
900000,692.2,1
1000000,479.2,1
1100000,558.9,1
1200000,633.3,1
1300000,501.9,1
1400000,507.5,1
1500000,436.9,1
1600000,517.6,1
1700000,610.3,1
1800000,664.4,1
1900000,551.4,1
2000000,655.4,1
2100000,593.5,1
2200000,537.3,1
2300000,608.2,1
2400000,694.4,1
2500000,668.5,1
2600000,645.7,1
2700000,703.4,1
2800000,709.8,1
2900000,553.7,1
3000000,730.9,1
3100000,666.6,1
3200000,604.6,1
3300000,546.4,1
3400000,601.9,1
3500000,708.1,1
3600000,605.7,1
3700000,385.9,1
3800000,563.2,1
3900000,549.6,1
4000000,643.4,1
